KR7001230002,20120113,A001230,21550,21650,21800,21350,5,-100,-0.46,775193,376666,8140630100,21600,21550,128080,91730,187320,158650,,,723,1074,21800,20300,20120113,20120109,180000,21750,200,2,21750,21700,1173,25453450,21650,21750,21650,0,0,1493,32174150,1,,61824290,21650,5000,21612.5785970739,100,61824290,40982463,0,20841827,33.71139,33.71139,0,0,0,0,9840,212626000,12850,00,1,0.9032587,1.23,1.723202,,,,,,,,24850,18450,00,374000,8083002500,00,00,17573,21550,21650,21800,21350,21550,376666,8140630100,1,00,
KR7006580005,20120113,A006580,8490,8740,8740,8150,3,0,0,53,2504,21258270,8450,8220,8905,428,1,2503,,,1,5,8840,8000,20120106,20120110,0,8490,0,0,0,8070,0,0,0,0,0,0,0,0,0,4,,2685000,8490,5000,8489.72444089457,100,2685000,2685000,0,0,0,0,0,0,0,0,0,0,0,00,1,1,0,-0.279548,,,,,,,,9760,7220,00,2504,21258270,00,00,0,8490,8740,8740,8150,8490,2504,21258270,1,00,
KR7006650006,20120113,A006650,92000,93000,94300,91500,5,-800,-0.86,16677,12316,1147600600,92300,92000,909,12888,5457,6514,,,450,916,94300,87100,20120113,20120109,0,92000,0,0,93200,91700,0,0,0,0,0,0,0,17,1564000,1,,6500000,92800,5000,93181.2830311407,100,6500000,5540650,0,959350,14.75923,14.75923,0,0,0,0,12,1124500,989,00,1,1,0.6,1.950415,,,,,,,,106500,78900,00,12299,1146036600,00,00,-1628,92000,93000,94300,91500,92000,12316,1147600600,1,00,
KR7006660005,20120113,A006660,7450,7490,7550,7340,3,0,0,7104,16530,122731500,7510,7450,1960,2290,8310,5470,,,48,57,7890,7330,20120105,20120111,0,7450,0,0,7810,7080,0,0,0,0,0,0,0,0,0,1,,8126314,7450,500,7424.77313974592,100,8126314,7443026,0,683288,8.408339,8.408339,0,0,0,0,0,0,0,00,1,1,1.25,-0.5911928,,,,,,,,8560,6340,00,16530,122731500,00,00,5230,7450,7490,7550,7340,7450,16530,122731500,1,00,
KR7006730006,20120113,A006730,23250,23500,24300,23150,5,-300,-1.27,10301,18277,426762850,23450,23250,2153,4167,11989,5294,,,554,212,25100,23150,20120109,20120113,0,23250,0,0,24400,23250,0,0,0,0,0,0,0,15,348750,4,,26133160,23550,500,23349.8028693462,100,26133160,24400917,0,1732243,6.628525,6.628525,0,0,0,0,238,5595600,269,00,1,0.7649588,0.75,0.5052508,,,,,,,,27050,20050,00,18262,426414100,00,00,-2904,23250,23500,24300,23150,23250,18277,426762850,1,00,
KR7006740005,20120113,A006740,12750,12550,13000,12550,2,200,1.59,880,2540,32226500,12750,12700,4690,3210,280,2260,,,7,22,15200,11900,20120106,20120106,0,12750,0,0,12700,12200,0,0,0,0,0,0,0,0,0,1,,2220000,12550,5000,12687.5984251969,100,2220000,2119290,0,100710,4.536487,4.536487,0,0,0,0,0,0,0,00,1,0.1,0,2.624196,,,,,,,,14400,10700,00,2540,32226500,00,00,2010,12750,12550,13000,12550,12750,2540,32226500,1,00,
KR7006800007,20120113,A006800,11600,11500,11850,11450,2,100,0.87,4623572,2448118,28540122250,11650,11600,766830,348080,1187642,1051080,,,3474,1771,11850,10350,20120113,20120109,180000,11600,0,3,11600,11550,13371,155076750,11600,11600,11550,2367,27220500,8720,101152000,1,,326700891,11500,5000,11658.3456468137,100,326700891,286954582,0,39746309,12.16596,12.16596,0,0,0,0,1140,13236500,62250,00,1,1,0.68,2.43704,,,,,,,,13200,9800,00,2423660,28256673000,00,00,18519,11600,11500,11850,11450,11600,2448118,28540122250,1,00,
KR7006801005,20120113,A006805,4890,4860,4900,4850,2,60,1.24,46671,19838,96790870,4900,4890,11250,5000,7290,11396,,,39,43,4900,4495,20120113,20120109,0,4890,0,0,4890,4800,0,0,0,0,0,0,0,828,4048920,1,,14075750,4830,5000,4878.58758548133,100,14075750,13862389,0,213361,1.515806,1.515806,0,0,0,0,0,0,300,00,1,1,0.21,1.21744,,,,,,,,5550,4110,00,19010,92741950,00,00,0,4890,4860,4900,4850,4890,19838,96790870,1,00,
KR7016570004,20120113,A016570,20650,20750,20750,20550,5,-100,-0.48,1400,270,5575000,20700,20600,410,1250,150,120,,,9,7,21050,20350,20120110,20120110,0,20650,0,0,21300,0,0,0,0,0,0,0,0,0,0,1,,2108947,20750,5000,20648.1481481481,100,2108947,1740745,0,368202,17.45905,17.45905,0,0,0,0,0,0,0,00,1,1,0,-0.3607213,,,,,,,,23850,17650,00,270,5575000,00,00,-250,20650,20750,20750,20550,20650,270,5575000,1,00,
KR7016571002,20120113,A016575,18500,18450,18500,18450,5,-300,-1.6,60,20,369500,18800,18350,330,440,20,0,,,2,0,19750,18400,20120105,20120106,0,18500,0,0,19350,18500,0,0,0,0,0,0,0,0,0,1,,220000,18800,5000,18475,100,220000,79517,0,140483,63.85591,63.85591,0,0,0,0,0,0,0,00,1,1,0,0.6700268,,,,,,,,21600,16000,00,20,369500,00,00,0,18500,18450,18500,18450,18500,20,369500,1,00,
